CODIGO,NOMBRE,CICLO,OBLIGATORIO,CREDITOS,H_TEORICAS,H_PRACTICAS,PREREQUISITO
HU0001502,COMPRENSIÓN  Y PRODUCCIÓN DE TEXTOS I,1,TRUE,4,3,2,
IN0001501,DESARROLLO DE COMPETENCIAS DIGITALES,1,TRUE,2,1,2,
HU0001501,ESTRATEGIAS PARA EL APRENDIZAJE AUTÓNOMO,1,TRUE,3,3,0,
IN1201601,INTRODUCCIÓN A LA INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,1,TRUE,4,3,2,
INF401501,MATEMÁTICA,1,TRUE,4,3,2,
IN1201602,MATEMÁTICA DISCRETA,1,TRUE,3,1,4,
INF402601,CÁLCULO DIFERENCIAL DE UNA Y VARIAS VARIABLES,2,TRUE,4,2,3,MATEMÁTICA
HU0002502,CIUDADANÍA E INTEGRACIÓN DE LA PERSONA CON DISCAPACIDAD,2,TRUE,2,2,0,
HU0002501,COMPRENSIÓN  Y PRODUCCIÓN DE TEXTOS II,2,TRUE,4,3,2,COMPRENSIÓN  Y PRODUCCIÓN DE TEXTOS I
SA0002501,ECOLOGÍA Y DESARROLLO SOSTENIBLE,2,TRUE,3,2,2,
IN1202602,FUNDAMENTOS DE PROGRAMACIÓN,2,TRUE,4,3,2,INTRODUCCIÓN A LA INGENIERÍA DE SISTEMAS Y COMPUTACIÓN - MATEMÁTICA DISCRETA
IN1202601,TEORÍA Y PROCESOS ORGANIZACIONALES,2,TRUE,3,1,4,INTRODUCCIÓN A LA INGENIERÍA DE SISTEMAS Y COMPUTACIÓN 
IN1203701,ANÁLISIS Y ESPECIFICACIÓN DE REQUISITOS,3,TRUE,3,1,4,TEORÍA Y PROCESOS ORGANIZACIONALES 
INF403601,CÁLCULO INTEGRAL DE UNA Y VARIAS VARIABLES,3,TRUE,4,2,4,CÁLCULO DIFERENCIAL DE UNA Y VARIAS VARIABLES
EM1203601,CONTABILIDAD Y FINANZAS,3,TRUE,2,1,2,TEORÍA Y PROCESOS ORGANIZACIONALES 
IN1203602,ESTADÍSTICA DESCRIPTIVA Y PROBABILIDADES,3,TRUE,3,2,2,CÁLCULO DIFERENCIAL DE UNA Y VARIAS VARIABLES
TE0003501,FILOSOFÍA,3,TRUE,3,3,0,
IN1203601,FÍSICA APLICADA A LA COMPUTACIÓN I,3,TRUE,3,1,4,CÁLCULO DIFERENCIAL DE UNA Y VARIAS VARIABLES
IN1203603,METODOLOGÍAS DE PROGRAMACIÓN,3,TRUE,4,3,2,FUNDAMENTOS DE PROGRAMACIÓN
TE0004501,ANTROPOLOGÍA FILOSÓFICA,4,TRUE,3,3,0,FILOSOFÍA
IN1204602,BASE DE DATOS,4,TRUE,3,2,2,CONTABILIDAD Y FINANZAS - ANÁLISIS Y ESPECIFICACIÓN DE REQUISITOS
IN1204701,DISEÑO DE SOFTWARE,4,TRUE,3,1,4,ANÁLISIS Y ESPECIFICACIÓN DE REQUISITOS
INF404601,ECUACIONES DIFERENCIALES Y TRANSFORMADAS,4,TRUE,4,2,4,CÁLCULO INTEGRAL DE UNA Y VARIAS VARIABLES 
IN1204604,ESTADÍSTICA INFERENCIAL Y MULTIVARIANTE,4,TRUE,3,2,2,ESTADÍSTICA DESCRIPTIVA Y PROBABILIDADES
IN1204603,ESTRUCTURA DE DATOS Y ALGORITMOS,4,TRUE,3,1,4,METODOLOGÍAS DE PROGRAMACIÓN
IN1204601,FÍSICA APLICADA A LA COMPUTACIÓN II,4,TRUE,3,1,4,FÍSICA APLICADA A LA COMPUTACIÓN I 
IN1205701,ADMINISTRACIÓN DE BASE DE DATOS,5,TRUE,3,1,4,BASE DE DATOS
IN1205603,ARQUITECTURA EMPRESARIAL,5,TRUE,3,2,2,BASE DE DATOS
IN1205702,DISEÑO WEB CON UX,5,TRUE,3,2,2,DISEÑO DE SOFTWARE
IN1205601,ELECTRÓNICA ANALÓGICA Y DIGITAL,5,TRUE,3,2,2,FÍSICA APLICADA A LA COMPUTACIÓN II
